Stat,Species,Extent,Elevation,Season,Krat,Rabbit,Rodent,Insect,Scorpion,Plant,Bird,Reptile,Anthro,Ungulate,Misc,Unknown
Count,CALA,Both,Highland,Summer,55,35,20,140,1,58,8,10,0,10,13,2
Count,CALA,Both,Highland,Winter,38,52,46,4,0,11,6,1,0,17,1,2
Count,CALA,Both,Highland,Both,93,87,66,144,1,69,14,11,0,27,14,4
Count,CALA,Both,Lowland,Summer,105,71,58,113,11,40,21,21,2,6,8,5
Count,CALA,Both,Lowland,Winter,30,73,36,0,2,10,2,0,1,8,1,4
Count,CALA,Both,Lowland,Both,135,144,94,113,13,50,23,21,3,14,9,9
Count,CALA,Both,Both,Both,228,231,160,257,14,119,37,32,3,41,23,13
Count,VUMA,Both,Highland,Summer,5,0,5,8,5,0,0,1,0,0,1,0
Count,VUMA,Both,Highland,Winter,10,2,13,0,0,1,1,0,0,4,0,0
Count,VUMA,Both,Highland,Both,15,2,18,8,5,1,1,1,0,4,1,0
Count,VUMA,Both,Lowland,Summer,55,4,39,55,8,2,19,3,0,2,3,1
Count,VUMA,Both,Lowland,Winter,30,14,41,0,0,3,1,0,0,3,0,2
Count,VUMA,Both,Lowland,Both,85,18,80,55,8,5,20,3,0,5,3,3
Count,VUMA,Both,Both,Both,100,20,98,63,13,6,21,4,0,9,4,3
Count,CALA,C,Both,Both,143,171,121,174,6,83,27,24,2,30,13,9
Count,CALA,H,Both,Both,85,60,39,83,8,36,10,8,1,11,10,4
Count,VUMA,C,Both,Both,81,15,77,54,9,4,20,3,0,6,4,3
Count,VUMA,H,Both,Both,19,5,21,9,4,2,1,1,0,3,0,0
Count,CALA,Both,Both,Summer,160,106,78,253,12,98,29,31,2,16,21,7
Count,CALA,Both,Both,Winter,68,125,82,4,2,21,8,1,1,25,2,6
Count,VUMA,Both,Both,Summer,60,4,44,63,13,2,19,4,0,2,4,1
Count,VUMA,Both,Both,Winter,40,16,54,0,0,4,2,0,0,7,0,2
